participant_id	ses	Other	Emotion	Realistic	Deliberate	Intrusive	Words	Abstract	Creative	Decoupling	Detailed	Temporal D	Future	Important	Stop	Vivid	Thematic	Past	Self	Evolving	Problem	Images	Habit
sub-ADIE252	baseline	1	4	1	4	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-ADIE255	3mf	1	4	2	1	2	3	2	1	3	4	1	2	2	4	1	4	2	1	2	2	3	2
sub-ADIE255	baseline	1	4	2	1	1	4	1	1	4	4	1	2	4	4	1	3	1	1	3	3	4	3
sub-ADIE256	3mf	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
sub-ADIE256	baseline	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	2
sub-ADIE262	baseline	1	3	4	3	2	1	1	2	4	4	1	3	4	3	2	4	2	1	3	4	4	2
sub-ADIE264	baseline	4	4	1	2	2	4	1	4	1	4	4	1	4	1	1	4	4	4	1	1	3	2
sub-ADIE272	baseline	4	1	4	1	4	4	2	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4
sub-ADIE275	baseline	3	2	3	3	2	1	3	1	3	3	2	3	2	2	4	2	2	3	3	2	3	3
sub-ADIE276	baseline	4	3	3	2	3	1	3	2	4	1	2	1	3	3	3	4	3	3	2	3	3	2
sub-ADIE277	baseline	1	3	3	1	3	1	4	3	2	2	1	3	3	2	3	3	1	3	2	4	3	3
sub-ADIE286	baseline	1	2	3	1	2	2	3	3	3	2	2	2	2	4	3	1	2	3	1	2	2	2
sub-ADIE287	3mf	1	4	1	4	1	1	1	1	1	3	1	1	1	4	4	4	1	1	1	1	4	1
sub-ADIE287	baseline	3	3	3	1	2	3	2	2	2	2	2	3	3	2	2	2	1	3	2	3	3	2
sub-ADIE294	baseline	1	2	3	2	2	2	3	1	3	3	2	3	1	4	3	2	2	4	2	2	3	3
sub-ADIE296	baseline	1	3	2	3	1	3	2	2	3	3	1	2	3	2	3	1	2	1	3	3	3	2
sub-ADIE299	baseline	2	4	3	4	2	4	2	1	3	2	1	2	3	2	2	2	2	3	4	3	2	2
sub-ADIE306	baseline	1	3	2	4	2	3	3	1	3	4	2	1	2	2	2	3	2	2	1	1	3	1
sub-ADIE315	baseline	2	3	3	2	2	2	2	3	2	3	3	2	3	4	4	3	3	2	2	1	4	4
sub-ADIE327	3mf	1	1	2	1	2	1	1	4	1	1	1	3	1	1	2	2	2	1	1	1	1	1
sub-ADIE327	baseline	2	1	4	2	3	1	3	2	3	2	3	4	3	4	3	3	4	3	2	3	2	3
sub-ADIE332	3mf	4	1	4	3	4	2	4	1	4	4	3	4	4	4	3	4	1	3	4	4	3	4
sub-ADIE332	baseline	1	3	3	4	2	3	1	2	4	4	1	1	1	4	3	4	3	4	4	4	4	3
sub-ADIE333	3mf	2	2	2	1	3	4	1	1	3	3	2	2	2	3	1	2	2	2	2	1	1	2
sub-ADIE339	3mf	1	1	1	1	3	2	2	1	3	2	2	1	2	3	1	3	1	2	2	2	1	1
sub-ADIE003	baseline	3	4	4	4	4	1	4	4	3	4	3	4	3	1	3	3	1	4	3	4	4	3
